Serial_No,Lot,Engine_Temp_0h,Engine_Temp_24h,Engine_Vibration_0h,Engine_Vibration_24h,Vehicle_Voltage_0h,Vehicle_Voltage_24h,Engine_Temp_24h_Max_Limit,Engine_Vibration_24h_Max_Limit
LOT-A-001,LOT-A,-37.57209454642607,86.9789796144186,1.4430245376790378,1.7458911082112367,13.804954303122638,13.348032457928115,105.0,2.9
LOT-B-002,LOT-B,90.38596903853902,80.51574693643923,1.4917851354357319,1.5949753491371945,13.704357056967133,13.810600605935258,105.0,2.9
LOT-C-003,LOT-C,82.84230580903964,120.74999999999999,1.554961496169579,3.3349999999999995,13.321610852926536,13.274080662176257,105.0,2.9
LOT-A-004,LOT-A,89.51336404252287,85.25906391801468,1.6160496744629873,1.9761155682371123,14.161424915371187,14.261742905874616,105.0,2.9
LOT-B-005,LOT-B,86.75556804122519,84.7253440839973,1.8551313775969585,1.780497001131188,14.193382727527098,13.703980185579445,105.0,2.9
LOT-C-006,LOT-C,93.02171330274307,93.22410464823878,1.7791052258544058,1.8309159482271025,13.93919465438519,13.78389289052528,105.0,2.9
LOT-A-007,LOT-A,88.94880620602201,93.8568562204627,1.4720050815222638,2.151278135384391,13.762815109124277,14.05473759023198,105.0,2.9
LOT-B-008,LOT-B,87.62098701128686,88.41466962010672,2.1080603714326953,1.619570355847642,13.352974133063526,13.442930422752534,105.0,2.9
LOT-C-009,LOT-C,86.66764259526556,98.98284415195822,1.6516889830515786,1.9430254839478172,13.449440015091971,13.826938984314012,105.0,2.9
LOT-A-010,LOT-A,90.82020906326514,97.42715860404314,1.4259323879190053,1.8569072603003993,13.905904367958666,13.332182704208488,105.0,2.9
LOT-B-011,LOT-B,87.91828381053804,88.34071039803987,1.018658643513304,1.8556539723393797,13.989085196910237,13.541983474161432,105.0,2.9
LOT-C-012,LOT-C,82.37803983261827,96.01147581538353,1.6664998218484492,1.9643423364430215,14.293612628845706,13.51247355764371,105.0,2.9
LOT-A-013,LOT-A,91.41104903709122,88.43894433985152,1.5843628396250298,1.6777399396739416,13.799538373640738,14.101025671866562,105.0,2.9
LOT-B-014,LOT-B,88.52007563032016,88.82357590854437,1.5308656921208472,1.788741678793352,13.486796177842232,13.519042965002011,105.0,2.9
LOT-C-015,LOT-C,87.78042155934953,87.01026742628318,1.5703809617657813,1.5411980156410585,14.50138522266014,14.178461866633222,105.0,2.9
LOT-A-016,LOT-A,89.88979908487066,89.264078520189,2.1476910406998027,1.7839677560991412,13.7696040722459,13.809125495654644,105.0,2.9
LOT-B-017,LOT-B,89.28496146693006,95.70539790852841,1.595258826879018,2.2458244542548855,13.4912925589994,13.949858078090783,105.0,2.9
LOT-C-018,LOT-C,83.79232753807922,120.74999999999999,1.517358640276706,3.3349999999999995,14.123482917205884,14.151922646250158,105.0,2.9
LOT-A-019,LOT-A,83.33011728632916,87.97690043677727,1.2512691818000576,1.7356993393576354,13.764519612700536,13.574383751806556,105.0,2.9
LOT-B-020,LOT-B,85.12526237661744,-21.962424070411686,1.413401165317388,1.8375300789267919,14.330582516521645,13.004939320915152,105.0,2.9
LOT-C-021,LOT-C,87.51293643249996,87.66004419398594,1.7230921471253242,1.4525405754906344,13.74874745925753,13.325746814307738,105.0,2.9
LOT-A-022,LOT-A,90.92613094258573,89.93680837181648,1.5596313586091173,1.7962488615426904,13.713730843379171,13.14062444612834,105.0,2.9
LOT-B-023,LOT-B,90.50206772171973,90.76838875001287,1.5614800996137814,1.9560804819647246,14.22647344242716,13.306778251716251,105.0,2.9
LOT-C-024,LOT-C,84.71948049766216,96.30805442137854,1.9547129666478282,1.5080177865676145,13.386751481717173,13.470475680655047,105.0,2.9
LOT-A-025,LOT-A,85.90791109136603,82.53011033969842,1.6077918131873148,1.367153483467205,13.376363622485467,14.029798312015796,105.0,2.9
LOT-B-026,LOT-B,85.1306050429808,89.18552679869643,1.7572740889189247,1.911438258743718,13.682042954922535,13.715882292315655,105.0,2.9
LOT-C-027,LOT-C,84.53329484454204,97.18847066441968,1.7624874544407874,1.4131576572192317,13.80142028909972,13.956878607449404,105.0,2.9
LOT-A-028,LOT-A,90.0135260595887,97.54834851937775,1.9430797782958535,1.559780320965104,13.768786824838209,13.238645098528572,105.0,2.9
LOT-B-029,LOT-B,89.04770252813566,90.16449266200388,2.2758707156547597,1.7253695270944995,13.06736166677212,13.458048864786358,105.0,2.9
LOT-C-030,LOT-C,88.47186668840531,83.97353271259166,1.3831980789871081,1.604934689860693,13.919634072062966,13.640476875963577,105.0,2.9
LOT-A-031,LOT-A,84.26522355272287,92.96579743177854,1.4650906376188648,1.5701797007129397,13.317121942817051,13.417034333037728,105.0,2.9
LOT-B-032,LOT-B,90.73744070271765,82.38231730245148,1.5822065763415725,1.886608506051469,13.668011987505112,13.786324586625787,105.0,2.9
LOT-C-033,LOT-C,83.30946515219172,95.26522276961288,123.64597280733159,1.7612297616276629,13.18572239902943,13.323453558429057,105.0,2.9
LOT-A-034,LOT-A,92.10215286011164,97.0377327972263,1.6741538599962504,2.0243029228492815,13.587283403802461,13.631820623620074,105.0,2.9
LOT-B-035,LOT-B,88.0048211949659,91.36162571643399,1.2177976023887702,1.9445733790599564,14.26289132552838,13.286455346417613,105.0,2.9
LOT-C-036,LOT-C,82.30757338070862,91.04246450431752,1.436422023471887,1.0835842825245505,14.083004230608879,13.75601399008437,105.0,2.9
LOT-A-037,LOT-A,85.99808260920706,98.79915488792724,1.634726062919915,1.5041081843206476,13.835403134235122,13.325575063724878,105.0,2.9
LOT-B-038,LOT-B,84.80083154902887,91.19999632935081,1.461450448446937,1.5827467407677394,14.384130701294275,14.009473561947098,105.0,2.9
LOT-C-039,LOT-C,91.37186844444864,91.82679348967216,1.721050390431049,2.078712073715857,13.793158904908694,14.36798508496392,105.0,2.9
LOT-A-040,LOT-A,84.0041129945583,88.37783417402652,1.2553509096560282,1.6106190148798347,13.98145485153404,14.222448880121066,105.0,2.9
LOT-B-041,LOT-B,85.214024339573,89.52333968383603,1.5101974000412655,1.5079640153959275,13.383717191258436,13.721838019508649,105.0,2.9
LOT-C-042,LOT-C,80.72532699817232,89.98638986362779,1.6052379838719386,1.5289849222797902,13.446183750531514,13.20164937862074,105.0,2.9
LOT-A-043,LOT-A,95.85957932610651,83.59532291756916,1.9894255898875315,1.8560428375655544,13.672592661100293,13.283452336260199,105.0,2.9
LOT-B-044,LOT-B,92.37847268681193,120.74999999999999,1.366493897797546,3.3349999999999995,14.1680683176778,13.820882009609663,105.0,2.9
LOT-C-045,LOT-C,96.39983601585584,86.99136442232609,1.7355728020923775,1.3747587278151667,14.533562105674667,13.437077307576228,105.0,2.9
LOT-A-046,LOT-A,78.72653847696017,88.94663830645763,1.56514234472167,2.1980485932660656,13.681413124115691,13.695448252108845,105.0,2.9
LOT-B-047,LOT-B,90.49244326203367,96.47959100568173,1.5841925963968009,1.9702642523328497,13.981329605821344,13.593355279485692,105.0,2.9
LOT-C-048,LOT-C,88.32572865636253,89.62616506696968,1.370993841070617,2.015556996155986,13.31503291156614,14.121620812118294,105.0,2.9
LOT-A-049,LOT-A,92.00856118232323,89.0905832644486,1.4086389131315653,1.6411294777279053,13.965471130298319,13.967501038171015,105.0,2.9
LOT-B-050,LOT-B,89.20505964686728,93.8653998790196,1.4606413569931327,1.7609898636100063,13.251078966195692,13.974905597181463,105.0,2.9
LOT-C-051,LOT-C,88.64334025819666,87.6714736204312,1.8903856046798122,1.8797967986870918,12.814262015389577,13.714357969376248,105.0,2.9
LOT-A-052,LOT-A,81.8888992137433,94.19330344766077,2.2222687057262043,1.5651812872140107,13.826102703375676,13.609627913392904,105.0,2.9
LOT-B-053,LOT-B,89.47341507132494,92.33601566867874,1.9217984841350755,1.443270453030576,14.350072184138263,13.364655011824299,105.0,2.9
LOT-C-054,LOT-C,89.16377253735399,94.59773721413742,1.7782996845994996,1.455970515343029,13.554326734111417,13.533560875016768,105.0,2.9
LOT-A-055,LOT-A,87.7850890192712,94.54659429260244,1.2770471406245512,1.821342391199313,14.013490351260506,13.900983939976776,105.0,2.9
LOT-B-056,LOT-B,89.95848660472355,96.18059973380763,1.7219520858415587,1.922809403585591,13.99724127672458,14.345520619782185,105.0,2.9
LOT-C-057,LOT-C,80.02082009383594,95.14127773932486,1.5347423064366403,1.6270136162865394,13.460683139870756,13.027269631517543,105.0,2.9
LOT-A-058,LOT-A,86.39604164025823,86.47590943812182,1.7235434948651738,1.3172117570362705,14.301064612840444,13.797896183557171,105.0,2.9
LOT-B-059,LOT-B,86.9588086955707,86.37853726358206,1.4031982361368847,1.40617733719864,13.609473746282493,13.702178149362023,105.0,2.9
LOT-C-060,LOT-C,87.25507351233686,83.27625335525894,1.5335429397390758,1.4677724420123588,13.855958764771728,14.371274675073481,105.0,2.9
LOT-A-061,LOT-A,90.62509531527573,88.1222722691825,1.1937792066313762,1.332171679743516,13.20964683608351,13.961348646824302,105.0,2.9
LOT-B-062,LOT-B,84.78670872981517,89.77544114014668,1.4444964543644006,1.723711100887112,14.29058699581131,13.453419464437744,105.0,2.9
LOT-C-063,LOT-C,86.56798757524182,85.9520867901469,1.8186437258798334,1.4333135306222982,13.403455864421863,13.200441332394215,105.0,2.9
LOT-A-064,LOT-A,82.08441124040097,91.57193509015404,2.2422812550387827,1.4412021577341902,14.133041038157206,13.790398535002053,105.0,2.9
LOT-B-065,LOT-B,83.37150522174169,88.28252197988125,1.5417708310823033,1.5204175081778497,14.475712405799394,13.013796594923424,105.0,2.9
LOT-C-066,LOT-C,89.60035308238572,90.95870771478836,1.455095950446231,1.7388707449975993,14.107161739043567,13.754984648758283,105.0,2.9
LOT-A-067,LOT-A,89.75276635467085,92.54881250639738,1.0919860023958632,2.084378312622627,14.597406389537703,14.053086219337871,105.0,2.9
LOT-B-068,LOT-B,92.25739145746329,83.30371329980662,1.57039290787163,1.4888686087134184,13.59448200888097,14.048133287227955,105.0,2.9
LOT-C-069,LOT-C,84.62361753359045,88.927554312141,1.1228548196545751,1.6588076795045514,13.831505865959974,13.446275525070057,105.0,2.9
LOT-A-070,LOT-A,84.9764754423614,97.8002606983277,1.297563928523766,1.4268395688458995,13.516846333644443,14.131574848141362,105.0,2.9
LOT-B-071,LOT-B,96.82647826405127,90.96157374768251,1.4206704960148733,1.5887895861035624,14.172684311119323,13.372015563591379,105.0,2.9
LOT-C-072,LOT-C,94.10237583433356,95.73294401055065,1.6175520037850792,1.8679937920204195,14.062411081741011,14.259515641817444,105.0,2.9
LOT-A-073,LOT-A,83.58390265558636,94.69730046227053,1.5061929995903365,1.5003821442703609,13.835935351151546,13.622836056828781,105.0,2.9
LOT-B-074,LOT-B,83.85252949080893,82.47174611620582,1.36447627552453,2.0776128786723165,14.4868993262065,13.934041920568681,105.0,2.9
LOT-C-075,LOT-C,92.98088695262874,87.22593495140221,1.580712081229557,1.7735188303927985,13.421548645282954,13.343620099930275,105.0,2.9
LOT-A-076,LOT-A,88.4081446881618,88.0906627216059,1.334110805115195,1.8004983536109667,13.707852244833287,14.067687422309438,105.0,2.9
LOT-B-077,LOT-B,87.97823937236517,88.17865157987379,1.6319182961702292,1.6552843019602872,13.566183883308009,13.555295809130465,105.0,2.9
LOT-C-078,LOT-C,91.14755997634735,92.34467355391548,1.921556952341023,1.25982157474728,13.66241826237684,13.55075287578228,105.0,2.9
LOT-A-079,LOT-A,88.72144455169273,87.51050806524057,1.4717042480844895,1.9035734800987678,13.862330630367634,13.280108951907334,105.0,2.9
LOT-B-080,LOT-B,93.60492654885148,93.8857090213579,1.4565100882911532,1.9161329080090286,13.542692866016433,14.105251427766953,105.0,2.9
LOT-C-081,LOT-C,87.08510879162975,85.96749346014026,1.5067239010458175,1.50088410367425,13.867248881930758,13.763037884145634,105.0,2.9
LOT-A-082,LOT-A,88.15037245416836,87.05089203908864,0.6847295474483021,1.724137259983911,13.136317967722078,13.78790780656484,105.0,2.9
LOT-B-083,LOT-B,92.74933370683343,90.70509680977278,1.5026408512622724,1.6532318229971579,13.753428080580258,13.50227301464778,105.0,2.9
LOT-C-084,LOT-C,85.54808412705219,85.43485775575245,1.8970405616659383,1.6959561489710886,14.134694988492816,13.60998162468383,105.0,2.9
LOT-A-085,LOT-A,88.30310455027056,88.75031635547253,1.715709013756806,1.9149252697333081,13.883896617453848,13.457426180491263,105.0,2.9
LOT-B-086,LOT-B,84.72419392681131,96.80035036676344,1.5299905811131274,1.6243134409332256,14.312752592764074,14.091630015658914,105.0,2.9
LOT-C-087,LOT-C,90.24211933930621,87.74265524417629,2.188299398001052,1.802173184778591,13.991444917523353,13.638401792600396,105.0,2.9
LOT-A-088,LOT-A,82.05990873907345,83.62704691389546,1.701744547934138,1.8018756518315588,13.716000586609942,13.278193834596177,105.0,2.9
LOT-B-089,LOT-B,81.94503697724717,88.05745707697196,1.235968017004369,1.933717987346444,14.20343267363002,14.71845229871359,105.0,2.9
LOT-C-090,LOT-C,91.68893329728327,86.89146173859777,1.3820837535237256,0.8025506968791698,13.591788801524334,13.636289404181802,105.0,2.9
LOT-A-091,LOT-A,92.06479047954706,92.19104067402284,1.7470874350949424,1.7555431768360426,14.03131851065138,14.221136000527029,105.0,2.9
LOT-B-092,LOT-B,83.52751706684684,87.48787830719165,1.2528671087964138,2.1208516805742605,14.253904193129816,13.970822298853081,105.0,2.9
LOT-C-093,LOT-C,82.96608403800033,90.2609571353806,1.5413401600608665,1.7210150326328226,13.734158654635799,13.887183016919343,105.0,2.9
LOT-A-094,LOT-A,86.34167255030405,93.26011022679873,1.6603487145632991,1.6238001952223062,13.760851321576496,13.54138853206637,105.0,2.9
LOT-B-095,LOT-B,91.41831299850806,88.30555626613597,1.6737225992790443,1.5979748069965853,13.280214343605012,14.026197585935275,105.0,2.9
LOT-C-096,LOT-C,83.55586864617663,92.48830826101877,1.7050381939726238,1.269431305336276,13.46936145210309,13.51492376950734,105.0,2.9
LOT-A-097,LOT-A,84.55298422258824,84.29888876209895,1.785023919974682,1.6377285955851066,13.93499170299542,13.545016956553962,105.0,2.9
LOT-B-098,LOT-B,89.28238002131818,86.19493604142406,1.5933708063254524,1.8512799063660228,13.81577548521327,13.535440315182962,105.0,2.9
LOT-C-099,LOT-C,83.43600070931002,90.23758503277134,1.6862363763013843,1.6328265430392321,13.530737884177583,13.89532989210139,105.0,2.9
LOT-A-100,LOT-A,98.42326785711288,88.1691672912758,1.6841848611902774,1.7981221755361239,12.901737297725033,13.744590444337355,105.0,2.9
LOT-B-101,LOT-B,85.03262145023807,95.59262712894095,1.5365035447269983,1.4978406904206962,13.723525232372763,13.759961980912625,105.0,2.9
LOT-C-102,LOT-C,85.64839660364063,120.74999999999999,1.2614600421143272,3.3349999999999995,14.07148550663025,14.40890201924052,105.0,2.9
LOT-A-103,LOT-A,90.96736244438114,90.69650898352448,1.895941464483609,1.96496825158962,14.382344945562407,14.089756107385588,105.0,2.9
LOT-B-104,LOT-B,87.5049729583237,90.63716949559067,1.6447903137493833,1.778556192911341,13.870112381164049,13.418325632790287,105.0,2.9
LOT-C-105,LOT-C,79.16472926782356,86.54461410777355,1.0934913779080881,1.7176693679194261,13.801587735853634,13.096793178717263,105.0,2.9
LOT-A-106,LOT-A,90.89030630193734,93.31417557274698,1.6239629472733152,2.133593238480098,14.455082940325026,13.265842161329749,105.0,2.9
LOT-B-107,LOT-B,92.35416160396446,91.43973066634067,1.704579944136681,1.9429563545880861,13.548291271414556,13.486745924038992,105.0,2.9
LOT-C-108,LOT-C,84.5279771291996,86.17842955720579,1.5753720664552107,1.3225257162614836,13.4339954180536,13.907910184061912,105.0,2.9
LOT-A-109,LOT-A,87.70195659620282,91.18500107995155,1.1276848791964622,1.4961981507983664,13.605602071541096,13.711712533312554,105.0,2.9
