Serial_No,Lot,Battery_Voltage_0h,Battery_Voltage_24h,Battery_Current_0h,Battery_Current_24h,Battery_Temp_0h,Battery_Temp_24h,Battery_Voltage_24h_Min_Limit,Battery_Temp_24h_Max_Limit
LOT-A-001,LOT-A,3.7062980069782907,3.7047472496557914,1.2244664471912672,1.154797668775875,29.81500659261264,33.51463009019106,3.4,45.0
LOT-B-002,LOT-B,3.790868479582454,3.6688538870247456,1.1686425663766813,1.410658605785729,29.058347552308994,36.769362710442216,3.4,45.0
LOT-C-003,LOT-C,3.7225324321394178,3.6558295482551637,1.3385903846373428,1.4324013979656187,27.84355529017753,51.74999999999999,3.4,45.0
LOT-A-004,LOT-A,3.7059297404648275,2.8899999999999997,1.2157582010769368,1.13805261573779,32.10432764575152,34.13112962626966,3.4,45.0
LOT-B-005,LOT-B,3.8247981429222704,3.786179886501455,1.3125717853512733,1.258606343123807,29.854566412510124,31.321792225253553,3.4,45.0
LOT-C-006,LOT-C,3.6784533886598685,3.686272398469738,1.0209925318511517,1.296098125936363,30.936342781347218,37.901511094377156,3.4,45.0
LOT-A-007,LOT-A,3.7579370495417717,3.6759889882217234,1.3008260951847197,1.169681049444405,29.67407780402444,27.70453215971973,3.4,45.0
LOT-B-008,LOT-B,3.79181297614344,3.7296669985104343,1.1441974150579286,1.2745561177407887,33.08949003568313,33.138749737559294,3.4,45.0
LOT-C-009,LOT-C,3.7391138518430322,3.657107890779617,1.1926479406686086,1.2885637113965052,33.02456212793404,30.09360615928345,3.4,45.0
LOT-A-010,LOT-A,3.6639299983146474,3.7572014960203637,1.1662718900802953,1.3769445532717826,31.534720696332723,34.02640884446553,3.4,45.0
LOT-B-011,LOT-B,3.8072190096737084,3.7344331770769728,1.3198428704570826,1.1973948387557012,29.470591501271414,33.48107700360852,3.4,45.0
LOT-C-012,LOT-C,3.7967130412681,3.7696051036273728,1.458499889927975,1.307980169537335,31.446124267506217,34.31426426533892,3.4,45.0
LOT-A-013,LOT-A,3.7209456853135445,3.696876581858938,1.1557371588233605,1.369209812877329,28.641604902926776,33.178198211159724,3.4,45.0
LOT-B-014,LOT-B,3.6490412878521887,3.7548168306533736,1.1574072959059125,1.3559133961013088,27.503461968674802,30.988423103161217,3.4,45.0
LOT-C-015,LOT-C,3.778917270165198,3.6597327190193254,1.2560471909823854,1.2369412103401347,25.91925334727561,32.70853588139618,3.4,45.0
LOT-A-016,LOT-A,3.741612924977992,3.6446113878707886,1.3016317667020612,1.2083874406377189,28.79252688312507,32.01576316518925,3.4,45.0
LOT-B-017,LOT-B,3.6859292527960625,3.81462168024569,1.1100570531557838,1.3464596011007925,33.17559607568298,27.44767641221398,3.4,45.0
LOT-C-018,LOT-C,3.633375793449492,3.728119544658876,1.2066639409079953,1.3145206567275949,33.50678355182399,51.74999999999999,3.4,45.0
LOT-A-019,LOT-A,3.6668017154560157,3.563527948435194,1.2684139730806097,1.1964245924523014,31.689447639925724,32.532731460151744,3.4,45.0
LOT-B-020,LOT-B,3.650776610182713,2.8899999999999997,1.3474932465918539,1.356344424249863,28.394159584869097,31.06291034779877,3.4,45.0
LOT-C-021,LOT-C,3.6926535238404368,3.6792619757388896,1.1488303037193326,1.319118230704619,31.504313758962095,32.84035602440337,3.4,45.0
LOT-A-022,LOT-A,3.6947025110786162,3.7645509130106887,1.2668967318941258,1.0335961912214537,29.591749607730293,31.868895547169565,3.4,45.0
LOT-B-023,LOT-B,3.768266294051078,3.6849640531266035,1.2274922987353198,1.2203465364365245,32.46421732885313,30.970549431585432,3.4,45.0
LOT-C-024,LOT-C,3.689827487942184,3.6628922038373997,1.3000923327084293,1.2320322806368211,27.313025624163686,33.43211054151197,3.4,45.0
LOT-A-025,LOT-A,3.684933191271133,3.7178501364392695,1.2836406638862643,1.3883246277846413,33.2979669222778,30.67743191802285,3.4,45.0
LOT-B-026,LOT-B,3.711680770745291,3.635479696285657,1.4009599391424055,1.3197464493312967,34.06772118897888,31.26630877871704,3.4,45.0
LOT-C-027,LOT-C,3.617542778651862,3.7765856328698697,1.2583805847893745,1.2919866593197684,31.122018962993327,33.482750484000896,3.4,45.0
LOT-A-028,LOT-A,3.7466566642187846,3.6204731724417045,1.3478204109619119,1.2323941632477713,29.972494298351908,35.97308610910048,3.4,45.0
LOT-B-029,LOT-B,3.7660279303940363,3.6830907223528553,1.0829247073333592,1.294547354353664,32.18504280808186,31.81476832965374,3.4,45.0
LOT-C-030,LOT-C,3.6576980470271585,3.660465601732377,1.1370301004600893,1.2993856879513799,32.8027172970605,34.358417649597286,3.4,45.0
LOT-A-031,LOT-A,3.68338860551421,3.711751264160228,1.2998662814417843,1.2339965775482848,30.67328375310945,36.884892677996234,3.4,45.0
LOT-B-032,LOT-B,3.7302561506740055,3.7441479462004517,1.2108649142828194,1.2837581697265648,27.22847640020531,31.942339419555474,3.4,45.0
LOT-C-033,LOT-C,3.7796138983012173,3.804944928922448,1.3576976924972146,1.3418170353951289,31.1165215360151,30.620071007068663,3.4,45.0
LOT-A-034,LOT-A,3.7119864238420757,3.730641801433961,1.1793371360916256,1.363981251212873,28.834944745569814,27.907739013639166,3.4,45.0
LOT-B-035,LOT-B,3.669395048807427,3.6167309683628033,1.1264897815561663,1.3818920068676936,38.12516143683503,32.50273461633514,3.4,45.0
LOT-C-036,LOT-C,3.7779056780211513,3.762955084095444,1.2045863903962077,1.399570817814672,31.846115069251326,32.007651128414395,3.4,45.0
LOT-A-037,LOT-A,3.742104946022226,3.6287186690367053,1.179250896071956,1.2702671798867107,32.34135678878663,31.144328585759542,3.4,45.0
LOT-B-038,LOT-B,3.713634062097388,3.74847172969866,1.3770531461224458,1.3490419742623734,33.79052855500265,31.069972370187312,3.4,45.0
LOT-C-039,LOT-C,3.704678246025364,3.715917682033548,1.2229034958188472,1.2343583339567221,34.63471753408944,31.537283873144318,3.4,45.0
LOT-A-040,LOT-A,3.671699293564859,3.7243698776007794,1.4152215374038541,1.2872728229599202,33.709020496519315,30.992950336631864,3.4,45.0
LOT-B-041,LOT-B,3.6954342950021988,3.665508947344788,1.2370930588632287,1.4452712303614765,28.457910609973215,35.765649309404715,3.4,45.0
LOT-C-042,LOT-C,3.6695776208271176,3.68830942832462,1.3252212296407244,1.336723920481832,31.620466352795773,28.206458101791853,3.4,45.0
LOT-A-043,LOT-A,3.7381117062571287,3.6488817648884657,1.4812018213981624,1.2607914318947537,31.4151837063025,29.362586801860544,3.4,45.0
LOT-B-044,LOT-B,3.696055994251102,3.635447891942676,1.338337946086317,1.2564224811445073,32.23785378037731,51.74999999999999,3.4,45.0
LOT-C-045,LOT-C,3.6949428764460293,3.764409032348197,1.1625476050041816,1.117870038252238,31.893728351909317,29.37493361852667,3.4,45.0
LOT-A-046,LOT-A,3.69802668025986,3.745579169096807,1.176326321766776,1.3590605066764203,29.50130403027371,35.428561265764756,3.4,45.0
LOT-B-047,LOT-B,3.7862551499585613,3.6764302294682953,1.2308094657395576,1.2051258022110545,31.44000436188749,34.64309213294895,3.4,45.0
LOT-C-048,LOT-C,3.6476621590657086,3.7458724222404904,1.130845700197276,1.2026251454363999,27.067051726033828,36.8413747813067,3.4,45.0
LOT-A-049,LOT-A,3.722935085224752,3.712237633252284,1.1891495997490031,1.3760270000294412,26.373011147426833,32.061330490479804,3.4,45.0
LOT-B-050,LOT-B,3.8303362372900303,3.6808972993611877,1.2515432789659382,1.3405009693993526,29.214808516273788,32.05254387422029,3.4,45.0
LOT-C-051,LOT-C,3.768049759579368,3.709719576618849,1.283388835349741,1.2485509030843667,31.694322329700267,32.12826101585233,3.4,45.0
LOT-A-052,LOT-A,3.7927532447179866,3.7362197254621012,1.2280686362116802,1.0597868777875512,32.57458874162835,33.73711106489557,3.4,45.0
LOT-B-053,LOT-B,3.6741546010957054,3.600081578906139,1.1472373649588232,1.3633569884580048,28.657480717287104,30.94309216017488,3.4,45.0
LOT-C-054,LOT-C,3.731019702965859,3.7612183990867947,1.2483658530869954,1.2709651405957596,29.792531292316593,35.7505014134887,3.4,45.0
LOT-A-055,LOT-A,3.7732975185385906,3.6952438297667767,1.1243078821426797,1.2088739437710374,32.27485960613983,30.34060135665298,3.4,45.0
LOT-B-056,LOT-B,3.764613647641528,3.7180729267262906,1.2763386252932527,1.3388100298576606,32.09689326513338,30.033091657891223,3.4,45.0
LOT-C-057,LOT-C,3.7037084984941058,3.8169908043226815,1.1412929085398655,1.2372909536389776,33.34453536313264,31.633700775127892,3.4,45.0
LOT-A-058,LOT-A,3.6793938970775835,3.633841310766929,1.2982425131746993,1.3717903219745926,34.079765842487994,32.12371357337557,3.4,45.0
LOT-B-059,LOT-B,3.7722493911936117,3.6483529483370987,1.2651219232822495,1.2190351715456686,31.382445436126872,33.72664146427526,3.4,45.0
LOT-C-060,LOT-C,3.7734863085015182,3.6505046892115556,1.3640738479178725,1.2373052390022503,28.743387866988883,31.60761028779143,3.4,45.0
LOT-A-061,LOT-A,3.6468723635498614,3.7002289098361953,1.2760733725355957,1.2619666924688202,32.179562319234265,31.27623357270098,3.4,45.0
LOT-B-062,LOT-B,3.7202025514283035,3.6279667915873492,1.2538404950644966,1.2034067233585457,30.010487073877655,31.784538158487994,3.4,45.0
LOT-C-063,LOT-C,3.72954888162762,3.6176667185406095,1.1092916412895213,1.2528222452976625,32.04364906495532,32.828555260425404,3.4,45.0
LOT-A-064,LOT-A,3.7646390217616363,3.765053823240881,1.2946789995060228,1.278212395708167,28.730792836022754,29.8240441069718,3.4,45.0
LOT-B-065,LOT-B,3.696641476421257,3.7133743303319697,1.269866197987142,1.2803819380344312,30.664010152499873,33.450141384899354,3.4,45.0
LOT-C-066,LOT-C,3.7304166215553543,3.7148923400929053,1.2777593407157926,1.2308336339357933,28.73215745398442,33.12959392407093,3.4,45.0
LOT-A-067,LOT-A,3.740836368454612,2.8899999999999997,1.2125833160436397,1.485058164524765,29.329740103531705,31.499648568816376,3.4,45.0
LOT-B-068,LOT-B,3.733275468905121,3.6422884711823214,1.2605512370005787,1.441797420877205,33.054510036597776,33.45406077192586,3.4,45.0
LOT-C-069,LOT-C,3.7496213964472696,3.705598210827334,2.3237321223838787,1.2659724410115276,30.06982559726565,32.234698150766945,3.4,45.0
LOT-A-070,LOT-A,3.7652848302034796,3.716521279537591,1.310708505235531,1.0978292705672927,33.624726270264986,37.38338396588139,3.4,45.0
LOT-B-071,LOT-B,3.786745202528068,3.6841190032257427,1.1736401045881208,1.3049717809285986,28.828653102525056,33.66904454617588,3.4,45.0
LOT-C-072,LOT-C,3.693729477081135,3.7480331839444814,1.3725922503416566,1.0970973277057845,31.64411162386404,30.3939532214437,3.4,45.0
LOT-A-073,LOT-A,3.6495110029890605,3.6691328542237023,1.230295950827077,1.3730318517086253,27.652904014099928,34.41686895046226,3.4,45.0
LOT-B-074,LOT-B,3.8209031455941354,3.7298720532958485,1.2991347124750137,1.278791964465204,28.414911481140326,33.23010285271524,3.4,45.0
LOT-C-075,LOT-C,3.7392013742096735,3.736579645485193,1.4811956313968386,1.3455002846025248,31.93656569503678,35.59244203915046,3.4,45.0
LOT-A-076,LOT-A,3.6527391970365004,3.642864869603339,1.2162314155988827,1.2210563658464224,32.52665339510548,31.269885201107456,3.4,45.0
LOT-B-077,LOT-B,3.806996692049679,3.7760223710006002,1.319306394226296,1.245260739515978,32.35729123383602,33.865436490616,3.4,45.0
LOT-C-078,LOT-C,3.666671417725682,3.717438986597346,1.3135502407508723,1.2994817335623834,34.45644229140146,34.79257490259543,3.4,45.0
LOT-A-079,LOT-A,4.169283327550938,3.7062241169383734,1.174802659230983,1.3321600352620337,29.092273950559427,34.12361592446411,3.4,45.0
LOT-B-080,LOT-B,3.7394072557478863,3.74854172929389,1.2369423844810443,1.1489336123444798,34.884837399937325,31.60309243038122,3.4,45.0
LOT-C-081,LOT-C,3.788834503090846,3.7215091168529937,1.3106521083819878,1.4446774202883157,31.748517664015434,35.22053200692248,3.4,45.0
LOT-A-082,LOT-A,3.6457837222471747,3.7435550074799933,1.2282301629631294,1.267933937499113,31.01917599846763,32.797012368509805,3.4,45.0
LOT-B-083,LOT-B,3.8028580238902023,3.6073143442861184,1.2539636160462628,1.2155161628263478,39.434152331256996,31.026888964304735,3.4,45.0
LOT-C-084,LOT-C,3.7428385024328104,3.6801248112833393,1.3101252786181121,1.3713322994399368,30.125720039953222,32.112873691953766,3.4,45.0
LOT-A-085,LOT-A,3.6489819904835237,3.7152699893480867,1.3270641141190322,1.2300135475441205,33.46479797061546,27.231386196833142,3.4,45.0
LOT-B-086,LOT-B,3.6274332277065993,3.6305878804619334,1.2063684696190666,1.281675669278847,30.826497991532662,31.845688519917704,3.4,45.0
LOT-C-087,LOT-C,3.7561788010546033,3.676394007826321,1.1362782003272593,1.1680591619891982,35.64786304628471,26.59013258910321,3.4,45.0
LOT-A-088,LOT-A,3.711183570456137,3.77289534641357,1.293502906092762,1.2053399415000623,31.004809151507402,33.987013227553106,3.4,45.0
LOT-B-089,LOT-B,3.7804074391871514,3.6550329390760736,1.3184412353047865,1.302725052006792,33.429690590531244,35.19795540281909,3.4,45.0
