Serial_No,Lot,Bearing_RPM_0h,Bearing_RPM_24h,Shaft_Vibration_0h,Shaft_Vibration_24h,Housing_Temp_0h,Housing_Temp_24h,Bearing_RPM_0h_Max_Limit,Shaft_Vibration_24h_Max_Limit,Housing_Temp_24h_Max_Limit
LOT-A-001,LOT-A,1450.0492061342993,1459.5473125753558,2.3177586433913344,2.2150106115976724,59.95398146672725,58.83926119151663,1650.0,3.8,85.0
LOT-B-002,LOT-B,1452.4057441038976,1503.2890403132903,2.252338044434601,2.301448032057619,64.20428922583339,65.17736893835229,1650.0,3.8,85.0
LOT-C-003,LOT-C,1897.4999999999998,1407.9203421222553,2.391224453261018,4.369999999999999,55.95103453721713,97.74999999999999,1650.0,3.8,85.0
LOT-A-004,LOT-A,1373.9510904079661,1392.839414929031,1.8474794886624801,2.424770838056102,56.296490833503334,64.774942486462,1650.0,3.8,85.0
LOT-B-005,LOT-B,1456.270043464969,1439.148900325542,1.644972086753846,2.3276182733290764,-1138.876808090521,64.03255223421554,1650.0,3.8,85.0
LOT-C-006,LOT-C,1388.7945693797842,1426.934362406575,2.1064442765830083,2.241172083383808,66.77404380523735,59.704587025940086,1650.0,3.8,85.0
LOT-A-007,LOT-A,1448.6991318021792,1484.1443744300932,2.2249198701770094,2.4642553761330688,62.497088644622664,63.799774338998795,1650.0,3.8,85.0
LOT-B-008,LOT-B,1400.9977669432922,1450.1978896758344,2.8076470265224613,2.0049137029988855,65.8672220960972,64.06096392077393,1650.0,3.8,85.0
LOT-C-009,LOT-C,1424.3411842357111,1531.0174949463817,2.6286779136254133,2.1162275513263284,62.33532302947159,66.21044104324987,1650.0,3.8,85.0
LOT-A-010,LOT-A,1442.4487149859701,1475.6822312221987,2.380044803955175,2.713519219466985,68.47335166245269,60.32438742027343,1650.0,3.8,85.0
LOT-B-011,LOT-B,1458.1255444155843,1427.5410817853865,2.438180523367749,2.1200977510879553,59.393142815737974,62.577878927818865,1650.0,3.8,85.0
LOT-C-012,LOT-C,1485.9505548840164,1495.0993243130736,2.0029416622547234,2.245714442884144,64.9110654015804,54.13562701437988,1650.0,3.8,85.0
LOT-A-013,LOT-A,1431.4732054019053,1442.9139491218561,2.777104493186046,2.7206092481826416,60.52753960900011,61.76769329773019,1650.0,3.8,85.0
LOT-B-014,LOT-B,1439.992183979283,1510.9882348191588,2.27159251722814,2.4028222757232864,63.586650802783694,62.93237890809366,1650.0,3.8,85.0
LOT-C-015,LOT-C,1442.108630881371,1400.2091799876557,2.3965435595884355,2.358054008648186,67.247574992856,66.56951596269548,1650.0,3.8,85.0
LOT-A-016,LOT-A,1449.0342554796027,1475.0720029772285,2.298039134486055,2.836680434696623,61.97570197697768,66.24189706464794,1650.0,3.8,85.0
LOT-B-017,LOT-B,1398.3642701870606,1461.560562052894,1.8935387647900375,1.8486947376192218,60.62985405029853,59.2703402442866,1650.0,3.8,85.0
LOT-C-018,LOT-C,1897.4999999999998,1541.279778312414,2.1504830455763755,4.369999999999999,62.92431775729114,97.74999999999999,1650.0,3.8,85.0
LOT-A-019,LOT-A,1442.9437573637697,1438.350926129365,2.610738886536163,2.6663704438508473,57.3484587556684,63.12784780250554,1650.0,3.8,85.0
LOT-B-020,LOT-B,1451.411473946459,1402.7116458739374,2.477951730202309,2.225453927303506,66.3743001856267,64.40590578924385,1650.0,3.8,85.0
LOT-C-021,LOT-C,1453.572259430762,1422.1768091800366,2.364417052836692,1.8607211862697426,56.90866638264624,65.20534705618715,1650.0,3.8,85.0
LOT-A-022,LOT-A,1364.8573183271142,1482.5575579022088,1.8761710573878272,2.7421563208525654,58.19526335204304,67.16125809640957,1650.0,3.8,85.0
LOT-B-023,LOT-B,1455.238048303392,1382.4529325077574,2.7747446248675365,2.961346289767236,61.70387792299907,62.212593520790094,1650.0,3.8,85.0
LOT-C-024,LOT-C,1443.6053213611744,1406.0436024432927,2.729576027927075,2.32627458184634,61.76964314288745,59.771506904945696,1650.0,3.8,85.0
LOT-A-025,LOT-A,1424.9570760111922,1393.3355436306508,2.777120794114318,2.450691976574076,66.34664728427964,63.56262560549232,1650.0,3.8,85.0
LOT-B-026,LOT-B,1422.2238588918842,1433.2792190799055,2.23193068484913,2.5025469117391723,60.3112992214537,62.090367935073544,1650.0,3.8,85.0
LOT-C-027,LOT-C,1394.8570126345635,1413.1124710399129,2.896217264640129,2.2852053707994506,57.25657795569428,65.08543376310264,1650.0,3.8,85.0
LOT-A-028,LOT-A,1506.2908879822612,1385.9309792957893,2.337443445524619,2.2977431827408297,54.07541236552669,66.95415553351444,1650.0,3.8,85.0
LOT-B-029,LOT-B,1449.0622432578061,1450.0005574602894,2.174306558266323,2.6455309321590135,59.573161927307055,62.82835492006522,1650.0,3.8,85.0
LOT-C-030,LOT-C,1405.6695683127396,1395.9236840712558,2.8006595565900065,2.337726494547688,63.31256160360111,63.34118495659335,1650.0,3.8,85.0
LOT-A-031,LOT-A,1432.3541918895125,1425.6656392458367,2.589024777433676,2.403402366549149,61.31850358322919,63.604441318814054,1650.0,3.8,85.0
LOT-B-032,LOT-B,1497.0603328100801,1475.5814609345919,2.5147800803183977,2.3196571541269626,55.7811407599709,67.96279067915592,1650.0,3.8,85.0
